ADD BARH 896,76 570611 9765220
ADD GJQM 214,22 671843 857333
ADD OWOG 362,62 938113 1890144
ADD USPL 20,59 417834 2868982
ADD RIDT 407,36 634668 2546070
ADD NOSK 857,88 973447 301413
ADD EOGF 445,51 369004 6500501
ADD AWWE 339,55 89600 9085985
ADD TBLQ 882,92 957593 3712141
ADD OLPT 953,97 379967 4621991
ADD NWEP 37,31 715564 627018
ADD PYFU 569,52 40972 7460248
ADD OBPJ 549,12 886717 2214973
ADD QQVZ 103,70 934288 296881
ADD CUPX 692,81 366150 6582387
ADD LPME 891,67 73619 4865360
ADD ZHVM 248,76 283933 671771
ADD JRUI 539,11 461181 9676276
ADD GTFI 845,97 321276 7527812
ADD PFVE 294,69 475735 6163644
ADD QNXT 935,65 36732 29467
ADD YAPM 227,37 48458 314599
ADD IWXH 805,87 684884 7629680
ADD GEXK 743,47 766558 8697554
ADD IFKB 297,49 194078 2358577
ADD XPWV 228,95 523003 9511292
ADD VWHC 131,42 429329 4504364
ADD INFL 851,77 953835 6540804
ADD YAZC 7,53 730567 2740688
ADD RVQQ 809,72 892437 7802407
ADD SWFX 885,11 528760 7954603
ADD HSZV 558,75 660546 440390
ADD LHVY 105,32 451772 4383853
ADD SIIX 806,95 43291 2628446
ADD YOTI 265,57 653643 3510370
ADD WRBE 309,43 731880 2485645
ADD NGDI 6,16 429760 446075
ADD VBPF 749,18 339410 6181907
ADD ONLZ 119,12 266384 7228613
ADD BACB 239,04 744160 1566285
ADD CMFG 639,65 743319 3857775
ADD XHCG 230,08 862396 653115
ADD OLWW 830,13 859851 2781128
ADD ONUA 861,30 994030 910330
ADD TNXK 216,97 617541 1466813
ADD VLQY 36,12 617695 237513
ADD FQBR 90,37 531582 7350366
ADD KAXP 760,54 873239 1574535
ADD AHOD 127,21 868111 8764249
ADD YWLE 528,25 513534 5770162
ADD XMVP 47,23 217263 7297020
ADD BDRD 787,85 756382 2851177
ADD DHWB 462,54 359416 6350902
ADD BARW 777,35 76574 761961
ADD VGAO 330,84 292577 5151893
ADD INOQ 261,00 143431 6241811
ADD KJXA 672,26 669252 1886536
ADD VEUW 953,74 71234 259300
ADD FODM 460,13 736217 1281438
ADD HOAS 668,35 544150 8863738
ADD DOEX 845,82 767352 6492421
ADD NGKC 470,46 855726 1105429
ADD IRBU 127,73 792090 9524747
ADD QQMM 376,64 937424 5325330
ADD FVZG 124,70 482263 6440287
ADD STFW 380,58 158118 5025264
ADD RCRO 863,86 610920 7438799
ADD QEEG 842,71 521528 6517710
ADD MOWR 743,23 851237 4458187
ADD QNTR 528,29 7342 595563
ADD DUOG 579,07 358343 5417055
ADD DBAE 829,09 39314 2038820
ADD MTNV 198,28 872934 3675580
ADD MNBU 954,00 84235 424056
ADD OOFP 485,89 433211 3128879
ADD ZLAI 123,49 943395 6952069
ADD KHSM 47,89 659487 3767079
ADD IULJ 53,29 874688 7410187
ADD GWFL 899,43 537929 4636082
ADD JTBF 262,27 38125 9530216
ADD WOTY 838,76 827859 2317184
ADD BYLW 989,81 595666 1116697
ADD STBG 416,80 858996 5928413
ADD OJGM 757,73 510646 8562751
ADD RGET 662,71 970438 3089338
ADD HDEJ 862,00 956036 706454
ADD NDSV 975,54 681345 1136164
ADD RURQ 329,34 53186 6550398
ADD JLOO 842,03 234109 4875722
ADD XTQI 123,85 722970 506486
ADD TMCU 290,90 47474 8579962
ADD HSRR 638,90 112787 7430427
ADD JLUJ 243,64 625723 4604196
ADD ZCPU 759,41 90456 2202668
ADD MIIF 172,00 366733 595796
ADD AUOQ 29,57 977583 2705416
ADD PKXY 722,34 295236 3411515
ADD VBCY 711,37 369730 7014445
ADD NKSN 216,97 69398 3197222
ADD NHCI 768,83 376026 4684602
ADD AXSM 192,76 996188 2071812
ADD YCQF 63,38 481821 2114668
ADD DOIW 386,92 178191 4414691
ADD AZQR 295,30 945366 448804
ADD VGST 830,41 752776 9522163
ADD OJGH 476,46 288364 4578527
ADD XOXU 958,87 55422 2537472
ADD MMMN 969,58 180393 673211
ADD BDHH 901,47 24395 481787
ADD LTPK 379,10 691828 9446775
ADD POUF 357,58 904038 5549041
ADD KZBS 828,82 284118 8977523
ADD BEIR 721,62 109481 6364561
ADD WQDW 411,47 541303 7834411
ADD GGDA 366,22 444300 465065
ADD NDDG 845,39 982369 6133951
ADD SBHR 243,68 497766 5219753
ADD EBOC 623,43 438523 6702701
ADD CBAL 216,08 56946 1283101
ADD ZYUA 189,29 756687 7515156
ADD DTGF 774,18 76295 9933366
ADD WROJ 926,42 185924 8807474
ADD ABAK 55,05 356702 1932993
ADD PHVR 994,59 41123 105701
ADD VUAI 318,91 800207 555821
ADD PGZW 299,38 749396 8951021
ADD MGDW 295,07 846739 289928
ADD EJHR 129,68 771937 5466024
ADD NUVG 57,27 21059 9792129
ADD ZGER 248,41 379441 5770003
ADD XCBL 338,50 519830 2220903
ADD JUSF 471,51 32013 9743567
ADD ZHWV 445,55 927077 2618408
ADD JGXW 20,49 599838 2212504
ADD IXZU 183,34 442346 9144785
ADD JVIA 183,65 401004 4472910
ADD DNKR 449,21 190011 1642643
ADD RRKX 71,02 969183 3871216
ADD OFIR 407,43 448467 8142140
ADD HUYT 498,37 981953 2102939
ADD AUHZ 403,93 76744 9042745
ADD IHQG 285,27 775353 1300110
ADD YCYK 31,50 653717 8160410
ADD DIYO 502,49 231760 4763943
ADD GJBS 5,65 898321 4248844
ADD UHYE 453,76 339311 7540070
ADD DHFD 761,14 144117 1088991
ADD RFXF 427,24 690142 5180009
ADD VQMD 929,52 792921 8202881
ADD GOUU 501,57 284549 7046254
ADD KIPI 107,69 1014 1642240
ADD NNLC 942,00 257710 3468499
ADD BXZC 577,70 493412 8329740
ADD EQAM 971,46 579392 9955224
ADD CVHS 888,00 985180 4432497
ADD VJMU 951,91 856196 3437658
ADD DGYK 456,13 847094 2667424
ADD FWHI 261,03 414114 270169
ADD UFAD 603,18 589291 9981862
ADD YPLX 399,45 474276 9804018
ADD VVFY 680,13 803668 4643377
ADD HPHO 113,67 269170 6738724
ADD ZHGS 196,13 684264 2825874
ADD RPVR 569,84 242707 5038734
ADD TPSO 109,00 671745 9591605
ADD LDEC 863,49 949041 296046
ADD QJZX 688,08 501270 8621354
ADD HZWL 400,46 862356 9519267
ADD KSBK 609,48 876289 1719710
ADD CABD 934,12 839909 9102379
ADD NWCU 194,03 920185 8378849
ADD SLCL 294,05 94251 3695524
ADD HYOA 948,05 984600 5529313
ADD NWPX 91,40 2128 2727630
ADD POMO 817,00 381142 6470316
ADD VTWH 935,93 439005 6339334
ADD RPMS 812,28 135115 2653681
ADD LHIA 950,07 519225 8832332
ADD AUVJ 921,30 586160 6153855
ADD OUQI 615,04 558125 9644861
ADD JZLZ 460,95 898269 501571
ADD RKMP 234,23 328865 6610073
ADD VWTX 284,67 20107 1062989
ADD ESYQ 548,95 401055 5314237
ADD AXRY 503,19 409362 9030859
ADD KHQE 291,80 597774 5177256
ADD CVPQ 629,27 130923 4213003
ADD XQHZ 712,71 361527 7690361
ADD VVJB 306,38 417135 4099453
ADD LEEW 362,88 644035 6077166
ADD UWFJ 31,66 780117 8200749
ADD UJMQ 671,70 852218 325862
ADD FRVX 533,16 767863 4109516
ADD HTRD 101,96 501444 8542046
ADD KDVS 711,65 516044 7757991
ADD OOZL 918,27 876011 7017463
ADD DNNV 307,12 157998 5745324
ADD KKGH 854,11 998550 6156910
ADD FUWR 700,02 921236 5949164
ADD WRQU 212,39 368398 6276513
ADD XVNY 507,60 355032 357267
ADD EOEO 185,01 865276 6215952
ADD UYIZ 885,24 429682 7886192
ADD OZSJ 426,15 667303 7879384
ADD OEZE 693,24 203258 2086643
ADD KZUI 164,93 903290 3193272
ADD KJQA 938,95 218153 473257
ADD SMFZ 392,17 819451 337679
ADD SEXD 154,54 548695 3989441
ADD QVPI 906,63 831124 4775387
ADD AKNY 620,54 403965 4635913
ADD VORL 255,92 785229 5284795
ADD SNET 595,28 79731 8548080
ADD VEWM 857,06 996815 9491693
ADD NPTI 960,44 62066 8743684
ADD ODSK 832,00 709026 7880400
ADD UFMH 942,82 890707 3665781
ADD UMKN 343,15 863406 9488482
ADD WIEC 822,46 803277 1869840
ADD BKKC 464,20 506300 1811137
ADD ZATQ 787,38 706490 401732
ADD JYYH 871,29 845621 4835501
ADD YTGQ 344,96 368081 8244639
ADD MLKW 889,63 868961 5014915
ADD EGZB 950,19 568364 3803344
ADD FQCU 680,93 886697 3041475
ADD KVST 760,96 167106 9094821
ADD OFLL 606,59 914516 7615882
ADD KFHW 680,50 311725 577422
ADD SYBX 51,91 451789 5004055
ADD NFNF 97,13 869861 3291032
ADD IIGT 246,48 410138 3164746
ADD RWKO 981,56 603202 2113138
ADD FCTC 865,82 228837 6234143
ADD ANFG 251,72 972861 7636202
ADD RYQO 449,54 385782 9508022
ADD DHUI 565,50 573358 9507439
ADD RSAB 921,16 213301 7030989
ADD NPGE 951,36 801550 5199027
ADD WPCX 43,92 478978 283751
ADD SOMA 49,33 524026 3355413
ADD CDML 251,92 382613 8277883
ADD HXQS 682,03 650365 4736665
ADD MPTD 500,22 152099 2066802
ADD UGLW 575,26 260422 7398986
ADD NRWK 497,40 882412 9172200
ADD ZMIE 600,30 715238 2483669
ADD DBOS 374,53 566413 3178395
ADD NQGH 121,55 42953 8119175
ADD FKLO 818,83 756614 7861479
ADD KLMK 945,53 557246 5997900
ADD XLOA 452,27 430580 1605065
ADD ZHCD 149,63 964405 9742129
ADD YUBX 537,15 38742 9521756
ADD SJDO 497,51 533306 9051490
ADD GBXZ 340,68 715083 937054
ADD YADF 398,29 969726 2684460
ADD SSBN 740,54 305874 6043818
ADD ZNJS 616,61 376462 328186
ADD KKMR 903,59 389703 282430
ADD UFRK 190,39 296985 5183706
ADD NOTE 119,54 947435 9356342
ADD DJAO 263,54 900526 3775225
ADD ESIK 121,88 884572 9434702
ADD LSPE 790,51 400954 807074
ADD YKUC 477,89 257432 6808035
ADD AXVR 319,79 836237 4416962
ADD FTEA 879,81 860029 323185
ADD TIBE 313,30 199253 8423654
ADD VHYB 419,30 281227 4605334
ADD ZMAP 708,85 148320 724922
ADD VNSB 177,06 85599 1069708
ADD TLXF 682,56 284765 571274
ADD WEEJ 709,82 649273 8472626
ADD KVRH 818,28 935002 64068
ADD EIAN 266,57 627766 3942531
ADD NNUV 141,22 526023 1705075
ADD JNTY 816,14 165397 4818972
ADD NOJT 722,49 324785 5662789
ADD KYAU 218,18 728629 3400249
ADD THUU 812,01 150214 5036933
ADD OAMT 119,55 734868 4029239
ADD CHEO 706,34 406614 1626400
ADD VWTC 408,07 862545 7967507
ADD BSLR 808,94 566992 1511331
ADD GWNW 305,82 726890 6974312
ADD JBWA 589,50 771776 9474362
ADD ISNC 433,89 163517 9749748
ADD VUVX 399,60 838422 4986546
ADD VFIM 430,69 611466 3384082
ADD DMVO 351,63 958369 5302775
ADD RWOC 955,79 416110 7779776
ADD AHSU 718,12 373391 2134037
ADD BVKT 161,33 514345 8668442
ADD AOUW 558,29 605614 8405177
ADD WOPL 963,13 868056 6487005
ADD IFTG 529,09 137325 5830577
ADD ENXY 693,38 980923 9953892
ADD EIKS 87,64 445338 453223
ADD TVYF 967,05 155439 8063916
ADD FHZR 542,10 151781 6046569
ADD CYDD 843,98 821747 633555
ADD NGUA 658,00 552347 8782819
ADD QGXL 618,77 180390 4857108
ADD ZIYW 777,15 640170 1514530
ADD EEVZ 820,41 552518 9165515
ADD JIYQ 656,04 431970 109329
ADD MZPT 253,70 421490 5655542
ADD QMUZ 480,83 267121 3861055
ADD GHXR 164,59 399336 8704689
ADD KOOF 765,93 268390 8479062
ADD LRKO 861,29 229382 7101497
ADD JVLV 93,24 122094 7747877
ADD SUXJ 373,37 963852 6277353
ADD FYGJ 899,09 624601 8486294
ADD PIUJ 980,72 104151 6482367
ADD ESJE 765,75 312980 3345591
ADD IFZT 694,55 453671 5043926
ADD MURP 924,88 819504 2857396
ADD UUUC 22,33 957913 9514348
ADD OMTJ 929,50 238553 7202010
ADD AVZT 598,76 507245 6169821
ADD BPQO 701,97 658526 2784149
ADD OKOZ 514,85 391872 4605093
ADD GTFW 414,67 19950 606705
ADD IEUB 427,02 133073 6366305
ADD WBGE 910,55 808664 42396
ADD WTWY 778,40 278719 9722701
ADD TBTZ 620,61 94666 1382881
ADD KAFZ 714,17 243400 4908615
ADD JKRB 185,26 206930 9474350
ADD UXQH 523,25 72074 7998409
ADD HKAA 236,64 485919 2979214
ADD TWCV 688,03 302213 8971250
ADD XTHJ 48,94 564159 609070
ADD OKPL 874,45 355863 1099133
ADD HZQH 13,71 201825 2152539
ADD PHDZ 444,35 535038 3276999
ADD KKQA 147,20 156948 4810113
ADD WDIB 322,11 538968 3784652
ADD LZKY 86,83 826310 8852396
ADD YROB 297,60 769380 5677609
ADD KRKG 283,69 525637 4012298
ADD CCYN 97,57 953346 1267354
ADD DOMF 348,24 788864 4827238
ADD ZMXO 807,40 386030 9564541
ADD REON 756,18 878661 9887534
ADD MFNW 475,28 868488 7756620
ADD VOMW 371,44 695235 9334381
ADD VPLF 980,90 319246 4596902
ADD ZZEJ 493,49 272137 9632464
ADD ORMZ 500,55 589215 5224006
ADD GKPV 385,88 500485 5957156
ADD YGLQ 150,84 200505 9357577
ADD UIEO 493,06 626629 2381397
ADD NPOC 642,93 18875 5934827
ADD UKQE 802,56 644856 1820144
