ADD GEDV 158,74 475408 7029588
ADD CURO 201,63 702704 2723651
ADD KRCJ 366,48 666858 6971263
ADD NGJF 333,80 746894 9699118
ADD KAMJ 462,47 245247 5025693
ADD WHBX 184,37 5940 7961347
ADD QZGD 468,91 367282 6301890
ADD QZGV 176,02 395538 1469223
ADD HBDV 992,37 343873 4100135
ADD FLNL 302,56 988282 922530
ADD ORIE 785,58 675149 2969634
ADD VNBQ 746,60 94876 3529370
ADD UMEL 195,16 105496 5476648
ADD MTKM 462,92 196935 5126613
ADD VSKP 717,72 968449 8736721
ADD QIIP 75,47 672494 2884281
ADD ACXK 137,11 976009 661331
ADD ZWHA 685,56 923103 8401358
ADD LOPA 965,46 235088 1008773
ADD PQQC 438,87 716301 780218
ADD FEWT 160,57 551000 1127644
ADD UXKA 949,01 126854 581827
ADD XWMY 342,54 444415 635888
ADD GZQA 925,15 17916 3285072
ADD WHFE 981,92 232584 6672504
ADD WLKT 601,61 867200 4181607
ADD BJVV 282,47 408466 2673992
ADD XYCV 816,79 457601 1973295
ADD UNUI 730,86 246878 760153
ADD MBLY 839,32 77328 7203310
ADD NWYS 536,08 358413 6299200
ADD GYSM 288,97 523486 8457483
ADD PLAC 431,23 698526 2151605
ADD KPJE 749,96 779643 6601229
ADD DISS 560,40 494387 2649741
ADD TVZE 924,47 272344 6312217
ADD XWII 423,09 18572 8554559
ADD KIWH 423,81 645957 8523510
ADD TYER 99,09 734154 1624673
ADD RNAP 545,03 375603 4589835
ADD QHGV 226,30 31148 6428074
ADD WDGQ 630,64 95602 4500831
ADD JGLD 454,17 951508 9257330
ADD ZYDI 859,02 155954 1179415
ADD OJEE 345,50 733633 3003949
ADD NWPS 563,20 575173 1898234
ADD NDBU 949,16 897173 1594610
ADD BJBQ 425,68 676507 5110512
ADD COJL 516,45 342801 9233913
ADD NCBJ 147,00 539716 7600893
ADD LEOY 83,70 642131 9020183
ADD ABLM 435,57 336880 8830922
ADD VLYV 893,83 21725 182467
ADD THAO 416,59 484721 1191963
ADD IBHT 879,48 670736 7214356
ADD YUBX 807,58 70902 1880153
ADD VKOB 680,39 323628 8731072
ADD BHWO 458,24 261328 6266249
ADD SSZC 917,66 463570 877981
ADD SUPR 102,29 436785 2151377
ADD PBPH 697,57 898241 4080803
ADD WQYX 418,96 442343 8719609
ADD GAAV 567,63 893594 4289255
ADD EYCC 751,72 890660 803815
ADD WAXQ 397,48 784287 3893407
ADD CAWU 81,99 356984 3239585
ADD KNTG 907,26 883119 4559140
ADD BEDD 105,48 436244 9992525
ADD EXHN 816,28 677067 8518251
ADD RABQ 508,69 889033 9157299
ADD JYNI 834,42 972180 6621578
ADD NPOB 793,43 6917 1732281
ADD UNGU 969,04 69577 8792248
ADD FAEZ 246,81 263836 4631397
ADD ZUQW 870,06 278540 8536779
ADD GCSB 904,56 93115 4349918
ADD EYWO 185,87 917789 8638267
ADD AZJW 605,15 598709 2709610
ADD BRYA 152,60 140188 3496605
ADD ENOI 482,47 716602 5365104
ADD UFMW 889,62 859338 6138409
ADD KOCA 494,72 56666 5460726
ADD WUSJ 123,74 763912 2143027
ADD BZGO 837,13 133701 6796067
ADD IXYS 314,87 629333 1791284
ADD XIYH 336,18 247181 7794878
ADD CFVE 405,72 621779 4105026
ADD RTKA 173,06 336354 9410092
ADD MSUP 668,33 840258 407698
ADD TYKM 533,79 99475 1805172
ADD AYZS 369,90 271939 7266812
ADD EQHD 34,00 863890 4431677
ADD RXWY 230,74 311829 2641270
ADD YAMK 15,69 597296 536014
ADD FEIT 896,87 312858 1352599
ADD CDQH 63,88 830876 4195468
ADD RCGU 900,06 248594 2608404
ADD UBFM 340,63 18920 83455
ADD ZGVD 827,84 572573 1759045
ADD LTLG 584,25 265667 7675084
ADD FFGE 676,16 32892 2757665
ADD XUWE 871,13 940542 8540475
ADD ASHO 607,50 137040 24380
ADD QHWX 488,14 730442 7603889
ADD ODUC 586,84 283800 4632271
ADD DQPZ 512,96 228535 8110774
ADD DDAB 618,34 195254 4806831
ADD LHAQ 950,25 251958 7373551
ADD KBKA 555,31 694954 9594580
ADD PQGS 521,11 925911 4263716
ADD XWRG 706,20 370645 6787154
ADD FMQH 453,63 919307 6942779
ADD QBMD 709,08 393078 5312866
ADD VWKJ 872,13 545890 2959673
ADD CWRM 397,48 640303 9178586
ADD CDMY 632,70 955917 1301831
ADD EAXY 630,17 820671 7242799
ADD UJSV 702,86 259676 7498282
ADD CGKT 307,48 904008 7128185
ADD FQTP 432,73 327743 5103817
ADD APHK 46,87 459531 8452974
ADD CPYR 315,65 491336 3306282
ADD FBQO 240,40 559334 274661
ADD GGYS 85,68 858406 113396
ADD GPRC 466,78 627484 9216212
ADD EWNR 249,83 857835 7446381
ADD YHKO 480,56 791948 4132177
ADD AFXF 402,47 494982 8691452
ADD RTKI 251,30 795830 7722899
ADD EAKK 919,77 196041 1098407
ADD LZZV 775,12 257533 7146993
ADD CVJS 881,67 819107 97173
ADD RAOH 631,56 71199 7912929
ADD IJZX 319,19 222310 9081612
ADD PWMK 508,18 642430 6645497
ADD EHKD 134,56 486721 440563
ADD ROXS 165,71 623257 3396976
ADD GYCU 291,99 893509 94544
ADD MFJA 566,29 34130 324253
ADD UUWI 126,62 847715 288842
ADD ZECP 137,61 596970 6110838
ADD VBOK 869,39 851563 1348904
ADD ZFCI 395,36 556031 4311314
ADD GADJ 735,42 265294 8570447
ADD QRKS 396,98 356243 993702
ADD QHEE 173,58 634844 3855559
ADD YCCO 749,00 8263 4056970
ADD KPDV 124,94 942278 9034805
ADD EWXA 140,94 957403 5334068
ADD NTKD 387,69 940380 9784416
ADD NHCB 628,22 191023 9475643
ADD MRGO 436,24 283599 5526064
ADD JACB 136,87 725125 6786773
ADD EFWZ 292,18 522095 2927401
ADD WVUQ 912,57 201275 2851800
ADD QXFK 294,60 183980 7361652
ADD VJQR 886,82 738068 959547
ADD UCJW 867,69 401496 3555414
ADD DVQX 182,72 928303 8480661
ADD OGBU 633,01 564386 8492085
ADD KCBK 233,23 835213 5154332
ADD SNGH 464,26 583580 6640025
ADD WSTL 234,35 588047 5072934
ADD GMMX 332,12 702837 6765607
ADD KLNG 906,05 950132 9292587
ADD ARKG 36,91 954367 4272935
ADD JIED 783,52 841822 4861631
ADD FNKX 176,56 715881 9425023
ADD JSZJ 511,35 613133 2864539
ADD NHZH 947,73 363525 9064629
ADD YKUT 863,46 986529 8120085
ADD YBZN 627,65 63362 6323824
ADD LVYL 461,24 264987 6611491
ADD UYHI 834,28 855921 1740790
ADD BCJS 412,70 892764 9283931
ADD PZPY 912,58 105731 9309101
ADD GYQO 345,24 91363 7715700
ADD TVVV 44,44 55560 2038046
ADD OANP 554,66 269138 8353477
ADD TMSX 929,94 70193 9258348
ADD YAMM 243,10 832361 7337795
ADD RMEA 137,68 665742 9091809
ADD DQHW 68,60 772617 1579911
ADD AKJL 471,69 683856 1930209
ADD BRAN 478,90 530993 6498245
ADD KAVZ 952,72 219719 4861811
ADD DQMG 552,06 543171 4980949
ADD BHRG 261,48 764772 8821950
ADD ENQV 316,73 322174 9339053
ADD TOUU 741,55 333111 4729608
ADD SFES 774,58 904581 4427747
ADD YEQW 309,47 414577 1939000
ADD JGWM 97,61 29846 9893038
ADD WDDZ 869,94 788577 8552021
ADD NVYM 722,95 136722 1208421
ADD QNQC 83,46 554554 8538500
ADD HTAY 317,92 451771 8488063
ADD IERK 584,32 122250 3788429
ADD ATND 837,81 381296 4097424
ADD PPUJ 996,48 292228 9784917
REMOVE WISJ
REMOVE OKCH
REMOVE RVST
REMOVE GACN
REMOVE EALC
REMOVE ITJX
REMOVE BPRW
REMOVE YVFV
REMOVE HYEA
REMOVE RJWX
REMOVE TRBC
REMOVE WMJJ
REMOVE JQUX
REMOVE FTYG
REMOVE SJSK
REMOVE XBSM
REMOVE IEIB
REMOVE QKPO
REMOVE SBFX
REMOVE PGPJ
REMOVE EELT
REMOVE LPLD
REMOVE OMHF
REMOVE LXRA
REMOVE PREW
REMOVE SNJS
REMOVE GLAM
REMOVE ASBP
REMOVE SPBX
REMOVE NRMK
REMOVE FTUI
REMOVE OVQQ
REMOVE KWBU
REMOVE MJJR
REMOVE ZWFU
REMOVE JVYW
REMOVE PUWW
REMOVE WPMC
REMOVE LTMV
REMOVE XWUQ
REMOVE LWFA
