ADD ANCW 732,13 438225 6194159
ADD QCML 507,49 809315 2069721
ADD HTNY 876,99 821681 4325281
ADD ADRI 886,48 51290 162054
ADD UTPT 765,67 62091 2954612
ADD IVYZ 614,25 67911 8363197
ADD MMCZ 861,08 619935 4988255
ADD MNDE 274,31 505786 7927874
ADD QNCC 363,36 46606 2017273
ADD USWB 858,66 728164 4552446
ADD PHMS 580,96 294359 5581687
ADD GSTP 419,20 6357 1309685
ADD IPAW 324,38 631644 9467186
ADD EWIB 196,82 75838 8117712
ADD EVZF 294,90 282205 6988318
ADD GYFS 325,65 54894 3350868
ADD JGHX 691,32 639546 1631955
ADD JAHF 460,28 856280 8666855
ADD MOFD 507,11 400628 1534599
ADD GULV 923,54 256715 9243153
ADD LFOZ 240,67 22892 2360080
ADD IBKP 222,47 267575 1460856
ADD BZPU 991,50 616097 2531429
ADD UMMV 30,26 458734 1781473
ADD DWXQ 164,72 323701 9583133
ADD DKPT 981,60 908128 7236917
ADD AXEA 256,77 399912 9904238
ADD IRTT 879,36 621788 5281657
ADD RHLP 444,88 328027 2191023
ADD GRDY 159,99 747540 2136404
ADD ATWH 952,93 895309 5523414
ADD MGEB 715,53 743769 8663180
ADD VHXX 416,44 213728 3543929
ADD DTVA 419,73 731802 1414024
ADD VMIM 719,25 736083 7075023
ADD KPSC 956,00 549608 1962062
ADD VGHX 24,67 475401 7813679
ADD YZHJ 794,83 797301 3251845
ADD HGRI 973,59 644096 9180942
ADD ULDV 418,36 297487 7172339
ADD VSUH 272,38 80857 5608965
ADD NGZI 139,71 970088 1321855
ADD MMLU 143,12 161942 477512
ADD MMYJ 114,79 672016 4772399
ADD BOWK 358,86 215446 7266479
ADD CPMC 394,14 455736 35115
ADD WXGC 836,52 680858 590768
ADD JAGO 112,65 440816 4710711
ADD POID 10,22 159810 5491297
ADD MGJF 164,55 879849 990395
ADD BKPZ 457,49 120143 2873978
ADD UPVJ 961,58 165363 625470
ADD NHYA 501,19 559266 3146832
ADD BKCI 121,79 839294 9527653
ADD JMBW 759,73 418171 9688922
ADD FRXB 186,86 675228 8458231
ADD HPCQ 868,22 604602 2975791
ADD EIWC 715,26 734909 5193564
ADD AGAR 843,30 576800 3449476
ADD DBJO 349,31 80240 817816
ADD ZJGE 814,13 473677 4856241
ADD HBIK 703,44 914920 4566612
ADD ACJV 92,42 131843 7561773
ADD UFYD 171,52 996979 5672788
ADD DCHS 804,00 135393 7439628
ADD TSKJ 0,87 969028 5674113
ADD IPET 554,62 111528 3322887
ADD XCCN 230,52 960361 5892320
ADD HCFN 852,65 545272 2618228
ADD SMET 341,52 562132 2187031
ADD LARB 261,35 2770 1617992
ADD GHOM 716,83 886038 5566574
ADD YSUQ 503,34 588951 1531163
ADD LVLC 258,53 222494 9206731
ADD PKWS 989,94 558278 7994275
ADD WNGP 759,93 848701 9691828
ADD IDWH 498,02 999041 1079734
ADD SGIR 880,37 669540 1411279
ADD VECX 967,05 676872 7696844
ADD FVXL 820,14 845795 5667812
ADD WACZ 638,94 921788 4432250
ADD SGDN 43,47 775979 2597465
ADD ZAUB 13,44 804508 1499639
ADD JHEE 646,92 295372 545332
